"condition","marker","day","mean","sd","n"
"Condition 7","Intracellular HBV DNA",30,3992394895.83333,55996702.1222474,3
"Condition 7","Intracellular HBV DNA",32,2444399531.25,131287812.885771,3
"Condition 7","Intracellular HBV DNA",34,1955130364.58333,178717715.502362,3
"Condition 7","Intracellular HBV DNA",36,1500851406.25,225081296.276741,3
"Condition 7","Intracellular HBV DNA",39,1920900989.58333,69173565.0358141,3
"Condition 7","Intracellular HBV DNA",42,1243395130.20833,43001198.4314689,3
"Condition 7","Intracellular HBV DNA",48,949214947.916667,128712932.245884,3
"Condition 7","Intracellular HBV DNA",54,624960885.416667,93907292.6295441,3
"Condition 7","Intracellular HBV DNA",60,699817473.958333,26516214.4291179,3
"Condition 7","cccDNA",2,65968.642171224,4995.12093170538,3
"Condition 7","cccDNA",4,312184.187825521,53231.4595116137,3
"Condition 7","cccDNA",6,5371690.234375,1005942.92815454,3
"Condition 7","cccDNA",9,33923725,3249137.51499046,3
"Condition 7","cccDNA",12,85874416.6666667,4660947.65506911,3
"Condition 7","cccDNA",18,158406441.666667,19920846.437802,3
"Condition 7","cccDNA",24,162969900,27444966.3127981,3
"Condition 7","cccDNA",30,147666666.666667,2155419.52606293,3
"Condition 7","cccDNA",32,105416666.666667,10137595.0468212,3
"Condition 7","cccDNA",34,80833333.3333333,3214550.25366432,3
"Condition 7","cccDNA",36,85750000,10644834.4280219,3
"Condition 7","cccDNA",39,8.2e+07,3631459.76158349,3
"Condition 7","cccDNA",42,70833333.3333333,3538478.95759369,3
"Condition 7","cccDNA",48,56166666.6666667,4645786.62158879,3
"Condition 7","cccDNA",54,39583333.3333333,4446440.5239847,3
"Condition 7","cccDNA",60,33916666.6666667,4110454.15171284,3
"Condition 8","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 8","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
"Condition 8","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 8","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 8","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 8","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 8","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
"Condition 8","Intracellular HBV DNA",30,3430806458.33333,195030521.953339,3
"Condition 8","Intracellular HBV DNA",32,2738768541.66667,405813987.457969,3
"Condition 8","Intracellular HBV DNA",34,2820642083.33333,116883333.434661,3
"Condition 8","Intracellular HBV DNA",36,2076969739.58333,209459784.980915,3
"Condition 8","Intracellular HBV DNA",39,1792154583.33333,239064902.765005,3
"Condition 8","Intracellular HBV DNA",42,2212548281.25,755945286.202101,3
"Condition 8","Intracellular HBV DNA",45,1370780416.66667,3614685.65049411,3
"Condition 8","Intracellular HBV DNA",47,977532005.208333,43149445.431596,3
"Condition 8","Intracellular HBV DNA",49,831272656.25,162294337.527755,3
"Condition 8","Intracellular HBV DNA",51,640100351.5625,40333432.9349539,3
"Condition 8","Intracellular HBV DNA",54,1128973437.5,317253981.351109,3
"Condition 8","Intracellular HBV DNA",57,734329791.666667,82919865.2205941,3
"Condition 8","Intracellular HBV DNA",60,738017994.791667,83151553.4732175,3
"Condition 8","cccDNA",2,65968.642171224,4995.12093170538,3
"Condition 8","cccDNA",4,312184.187825521,53231.4595116137,3
"Condition 8","cccDNA",6,5371690.234375,1005942.92815454,3
"Condition 8","cccDNA",9,33923725,3249137.51499046,3
"Condition 8","cccDNA",12,85874416.6666667,4660947.65506911,3
"Condition 8","cccDNA",18,158406441.666667,19920846.437802,3
"Condition 8","cccDNA",24,162969900,27444966.3127981,3
"Condition 8","cccDNA",30,163583333.333333,18752222.0905506,3
"Condition 8","cccDNA",32,113210341.666667,18925495.0208225,3
"Condition 8","cccDNA",34,124706350,5657738.01398083,3
"Condition 8","cccDNA",36,103770058.333333,4910583.43841524,3
"Condition 8","cccDNA",39,93568141.6666667,2258067.776454,3
"Condition 8","cccDNA",42,115083333.333333,22585024.5369212,3
"Condition 8","cccDNA",45,81250000,4670385.42306735,3
"Condition 8","cccDNA",47,59250000,7858116.82275086,3
"Condition 8","cccDNA",49,45250000,5847007.78176325,3
"Condition 8","cccDNA",51,39333333.3333333,9501096.42795679,3
"Condition 8","cccDNA",54,51833333.3333333,2753785.27364305,3
"Condition 8","cccDNA",57,46916666.6666667,9395255.89504263,3
"Condition 8","cccDNA",60,37500000,5482928.04986533,3
