"day","replicate","copies_per_well","condition","marker"
24,"Replicate 3",71631.0607910156,"Condition 5","cccDNA"
30,"Replicate 1",257193.896484375,"Condition 5","cccDNA"
30,"Replicate 2",291079.150390625,"Condition 5","cccDNA"
30,"Replicate 3",248175.537109375,"Condition 5","cccDNA"
32,"Replicate 1",246498.168945312,"Condition 5","cccDNA"
32,"Replicate 2",252298.071289062,"Condition 5","cccDNA"
32,"Replicate 3",259391.333007812,"Condition 5","cccDNA"
34,"Replicate 1",290912.890625,"Condition 5","cccDNA"
34,"Replicate 2",334390.673828125,"Condition 5","cccDNA"
34,"Replicate 3",243879.467773438,"Condition 5","cccDNA"
36,"Replicate 1",208708.69140625,"Condition 5","cccDNA"
36,"Replicate 2",196733.068847656,"Condition 5","cccDNA"
36,"Replicate 3",191963.037109375,"Condition 5","cccDNA"
39,"Replicate 1",466017.08984375,"Condition 5","cccDNA"
39,"Replicate 2",196693.103027344,"Condition 5","cccDNA"
39,"Replicate 3",338104.8828125,"Condition 5","cccDNA"
42,"Replicate 1",409087.98828125,"Condition 5","cccDNA"
42,"Replicate 2",610225.09765625,"Condition 5","cccDNA"
42,"Replicate 3",580877.9296875,"Condition 5","cccDNA"
48,"Replicate 1",356710.986328125,"Condition 5","cccDNA"
48,"Replicate 2",210040.014648438,"Condition 5","cccDNA"
48,"Replicate 3",654079.1015625,"Condition 5","cccDNA"
54,"Replicate 1",551800.634765625,"Condition 5","cccDNA"
54,"Replicate 2",558585.64453125,"Condition 5","cccDNA"
54,"Replicate 3",869734.1796875,"Condition 5","cccDNA"
60,"Replicate 1",369473.754882812,"Condition 5","cccDNA"
60,"Replicate 2",569850.537109375,"Condition 5","cccDNA"
60,"Replicate 3",359279.98046875,"Condition 5","cccDNA"
2,"Replicate 1",35286.6149902344,"Condition 6","cccDNA"
2,"Replicate 2",33337.2985839844,"Condition 6","cccDNA"
2,"Replicate 3",30329.0496826172,"Condition 6","cccDNA"
4,"Replicate 1",177413.635253906,"Condition 6","cccDNA"
4,"Replicate 2",164600.073242188,"Condition 6","cccDNA"
4,"Replicate 3",126262.573242188,"Condition 6","cccDNA"
6,"Replicate 1",3256928.90625,"Condition 6","cccDNA"
6,"Replicate 2",2491833.3984375,"Condition 6","cccDNA"
6,"Replicate 3",2308773.046875,"Condition 6","cccDNA"
9,"Replicate 1",18261189.0625,"Condition 6","cccDNA"
9,"Replicate 2",17483965.625,"Condition 6","cccDNA"
9,"Replicate 3",15140432.8125,"Condition 6","cccDNA"
12,"Replicate 1",40261593.75,"Condition 6","cccDNA"
12,"Replicate 2",44026171.875,"Condition 6","cccDNA"
12,"Replicate 3",44523859.375,"Condition 6","cccDNA"
18,"Replicate 1",72427837.5,"Condition 6","cccDNA"
18,"Replicate 2",90639556.25,"Condition 6","cccDNA"
18,"Replicate 3",74542268.75,"Condition 6","cccDNA"
24,"Replicate 1",67127112.5,"Condition 6","cccDNA"
24,"Replicate 2",94468687.5,"Condition 6","cccDNA"
24,"Replicate 3",82859050,"Condition 6","cccDNA"
30,"Replicate 1",1.45e+08,"Condition 6","cccDNA"
30,"Replicate 2",182500000,"Condition 6","cccDNA"
30,"Replicate 3",163250000,"Condition 6","cccDNA"
32,"Replicate 1",98839325,"Condition 6","cccDNA"
32,"Replicate 2",94669406.25,"Condition 6","cccDNA"
32,"Replicate 3",104655168.75,"Condition 6","cccDNA"
34,"Replicate 1",97461768.75,"Condition 6","cccDNA"
34,"Replicate 2",104111806.25,"Condition 6","cccDNA"
34,"Replicate 3",109696087.5,"Condition 6","cccDNA"
36,"Replicate 1",81250568.75,"Condition 6","cccDNA"
36,"Replicate 2",82727856.25,"Condition 6","cccDNA"
36,"Replicate 3",99798187.5,"Condition 6","cccDNA"
39,"Replicate 1",76350406.25,"Condition 6","cccDNA"
39,"Replicate 2",74702993.75,"Condition 6","cccDNA"
39,"Replicate 3",83101181.25,"Condition 6","cccDNA"
42,"Replicate 1",83500000,"Condition 6","cccDNA"
42,"Replicate 2",82500000,"Condition 6","cccDNA"
42,"Replicate 3",74500000,"Condition 6","cccDNA"
45,"Replicate 1",23850000,"Condition 6","cccDNA"
45,"Replicate 2",43250000,"Condition 6","cccDNA"
45,"Replicate 3",66500000,"Condition 6","cccDNA"
47,"Replicate 1",3.7e+07,"Condition 6","cccDNA"
47,"Replicate 2",37500000,"Condition 6","cccDNA"
47,"Replicate 3",33500000,"Condition 6","cccDNA"
49,"Replicate 1",3e+07,"Condition 6","cccDNA"
49,"Replicate 2",28750000,"Condition 6","cccDNA"
49,"Replicate 3",30250000,"Condition 6","cccDNA"
51,"Replicate 1",49250000,"Condition 6","cccDNA"
51,"Replicate 2",55500000,"Condition 6","cccDNA"
51,"Replicate 3",63250000,"Condition 6","cccDNA"
54,"Replicate 1",38750000,"Condition 6","cccDNA"
54,"Replicate 2",34750000,"Condition 6","cccDNA"
54,"Replicate 3",29500000,"Condition 6","cccDNA"
57,"Replicate 1",39500000,"Condition 6","cccDNA"
57,"Replicate 2",3.8e+07,"Condition 6","cccDNA"
57,"Replicate 3",3.7e+07,"Condition 6","cccDNA"
60,"Replicate 1",30250000,"Condition 6","cccDNA"
60,"Replicate 2",33250000,"Condition 6","cccDNA"
60,"Replicate 3",25750000,"Condition 6","cccDNA"
2,"Replicate 1",70573.2299804688,"Condition 7","cccDNA"
2,"Replicate 2",66674.5971679688,"Condition 7","cccDNA"
2,"Replicate 3",60658.0993652344,"Condition 7","cccDNA"
4,"Replicate 1",354827.270507812,"Condition 7","cccDNA"
4,"Replicate 2",329200.146484375,"Condition 7","cccDNA"
4,"Replicate 3",252525.146484375,"Condition 7","cccDNA"
6,"Replicate 1",6513857.8125,"Condition 7","cccDNA"
6,"Replicate 2",4983666.796875,"Condition 7","cccDNA"
6,"Replicate 3",4617546.09375,"Condition 7","cccDNA"
9,"Replicate 1",36522378.125,"Condition 7","cccDNA"
9,"Replicate 2",34967931.25,"Condition 7","cccDNA"
9,"Replicate 3",30280865.625,"Condition 7","cccDNA"
12,"Replicate 1",80523187.5,"Condition 7","cccDNA"
12,"Replicate 2",88052343.75,"Condition 7","cccDNA"
12,"Replicate 3",89047718.75,"Condition 7","cccDNA"
18,"Replicate 1",144855675,"Condition 7","cccDNA"
18,"Replicate 2",181279112.5,"Condition 7","cccDNA"
18,"Replicate 3",149084537.5,"Condition 7","cccDNA"
24,"Replicate 1",134254225,"Condition 7","cccDNA"
24,"Replicate 2",188937375,"Condition 7","cccDNA"
24,"Replicate 3",165718100,"Condition 7","cccDNA"
30,"Replicate 1",147250000,"Condition 7","cccDNA"
30,"Replicate 2",145750000,"Condition 7","cccDNA"
30,"Replicate 3",1.5e+08,"Condition 7","cccDNA"
32,"Replicate 1",1.06e+08,"Condition 7","cccDNA"
32,"Replicate 2",115250000,"Condition 7","cccDNA"
32,"Replicate 3",9.5e+07,"Condition 7","cccDNA"
34,"Replicate 1",79500000,"Condition 7","cccDNA"
34,"Replicate 2",84500000,"Condition 7","cccDNA"
34,"Replicate 3",78500000,"Condition 7","cccDNA"
36,"Replicate 1",75500000,"Condition 7","cccDNA"
36,"Replicate 2",8.5e+07,"Condition 7","cccDNA"
36,"Replicate 3",96750000,"Condition 7","cccDNA"
39,"Replicate 1",85500000,"Condition 7","cccDNA"
39,"Replicate 2",82250000,"Condition 7","cccDNA"
39,"Replicate 3",78250000,"Condition 7","cccDNA"
42,"Replicate 1",66750000,"Condition 7","cccDNA"
42,"Replicate 2",72750000,"Condition 7","cccDNA"
42,"Replicate 3",7.3e+07,"Condition 7","cccDNA"
48,"Replicate 1",5.3e+07,"Condition 7","cccDNA"
48,"Replicate 2",61500000,"Condition 7","cccDNA"
48,"Replicate 3",5.4e+07,"Condition 7","cccDNA"
54,"Replicate 1",34500000,"Condition 7","cccDNA"
54,"Replicate 2",42750000,"Condition 7","cccDNA"
